Time,bpm,mph,pace,Cadence,stride,distance-feet
0:00:00,0,0,0:00,0,0,0
0:00:01,0,1,62:02:00,53,34,4.54
0:00:02,0,1.7,36:08:00,52,33,7.87
0:00:03,0,1.8,32:48:00,49,33,11.8
0:00:04,0,2.1,29:05:00,50,26,15.43
0:00:05,0,2.1,29:05:00,50,26,15.43
0:00:06,0,2.3,26:13:00,53,20,19.66
0:00:07,0,2.6,23:16,56,24,28.74
0:00:08,0,2.6,23:16,56,24,28.74
0:00:09,0,2.7,21:50,57,26,37.82
0:00:10,0,2.7,21:50,57,26,37.82
0:00:11,0,3.4,17:29,63,27,45.68
0:00:12,0,4.1,14:32,67,28,50.52
0:00:13,0,4.1,14:32,67,28,50.52
0:00:14,0,5.7,10:28,76,34,61.56
0:00:15,0,6.1,9:53,78,43,72.59
0:00:16,0,6.2,9:42,78,44,83.63
0:00:17,0,6.2,9:42,78,44,94.09
0:00:18,0,6.3,9:31,79,44,105.12
0:00:19,0,6.3,9:31,79,44,109.21
0:00:20,0,6.4,9:26,79,45,117.08
0:00:21,0,6.4,9:26,79,45,117.08
0:00:22,152,6.4,9:26,78,46,128.11
0:00:23,149,6.4,9:26,77,46,139.15
0:00:24,150,6.4,9:26,77,46,150.18
0:00:25,149,6.4,9:26,78,47,161.22
0:00:26,149,6.3,9:31,79,47,172.25
0:00:27,136,6.3,9:31,79,47,183.29
0:00:28,133,6.3,9:31,79,47,188.78
0:00:29,134,6.2,9:42,79,46,199.81
0:00:30,135,6.2,9:42,79,46,209.05
0:00:31,140,6,10:04,77,44,220.08
0:00:32,138,5.9,10:10,78,44,231.12
0:00:33,138,5.9,10:10,78,44,240.81
0:00:34,138,5.9,10:10,78,44,247.17
0:00:35,139,5.8,10:16,78,44,258.2
0:00:36,140,5.8,10:16,78,44,259.87
0:00:37,140,5.7,10:28,78,42,270.91
0:00:38,141,5.7,10:28,78,42,281.94
0:00:39,141,5.7,10:28,78,42,284.68
0:00:40,141,5.2,11:30,78,41,295.71
0:00:41,143,5.3,11:23,78,39,306.75
0:00:42,142,5.3,11:16,79,38,317.78
0:00:43,143,5.3,11:16,78,38,327.03
0:00:44,143,5.4,11:02,78,39,338.07
0:00:45,144,5.4,11:02,78,39,345.49
0:00:46,143,5.4,11:02,78,39,345.49
0:00:47,143,5.4,11:02,78,39,356.52
