Timestamp,accelX,accelY,accelZ,gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(mph),TrueHeading,Alt(feet),ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX,calMagY,calMagZ
01-Nov-2017 17:29:07.081,-0.0185,-0.2017,-0.9492,-0.1521,-0.1844,0.2443,0,0,0,40.11034,-88.230768,-2.2369,0,742.826599,Unknown,High,0,0,-18.6769,-41.9211,-579.1357,0,0,0
01-Nov-2017 17:29:08.085,-0.0661,-0.3058,-0.9383,0.7627,0.2692,-0.4462,-0.1245,0.2486,2.8711,40.110338,-88.230769,-2.2369,102.0368,742.796936,Unknown,High,98.549,0,-24.2196,-43.3198,-576.4908,-19.7402,-17.8539,-27.1616
01-Nov-2017 17:29:09.087,-0.0894,-0.2014,-1.0071,-0.1275,-0.7089,0.5079,-0.0652,0.129,2.9894,40.110338,-88.230769,-2.2369,95.5361,742.796936,Unknown,High,98.5505,-0.1268,-23.9304,-37.3968,-579.6495,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:10.261,-0.4954,-0.05,-0.7231,2.2281,-2.6135,-1.1568,-0.0652,0.129,2.9894,40.110249,-88.230679,1.0737,48.9331,621.126709,Unknown,High,98.552,-0.2537,-42.5604,-10.5387,-556.2697,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:11.118,-1.708,0.3526,-0.2104,-1.7126,-3.0282,0.6524,-0.0652,0.129,2.9894,40.110131,-88.230655,1.0737,53.7415,781.227051,Unknown,High,98.554,-0.4281,-42.2716,-19.3504,-532.5228,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:12.107,-0.3105,0.4701,0.4437,1.721,-1.468,0.6595,-0.0652,0.129,2.9894,40.110245,-88.230726,0.3803,94.8758,766.409424,Unknown,High,98.5612,-1.0358,-26.0621,-1.5603,-525.1486,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:13.098,-0.3348,0.945,0.2875,-0.8093,0.303,-0.3703,-0.0652,0.129,2.9894,40.11023,-88.230894,1.0961,134.962,736.260681,Unknown,High,98.5615,-1.0649,-9.2791,8.942,-529.8619,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:14.100,-0.4628,0.8214,-0.1087,-0.1247,0.7468,-0.0102,-0.0652,0.129,2.9894,40.110223,-88.230876,0.9619,143.3561,738.750793,Unknown,High,98.5625,-1.1494,-17.2377,9.5365,-533.1783,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:15.101,-0.2455,1.0162,0.2633,0.6942,0.1217,0.1107,-0.0652,0.129,2.9894,40.110216,-88.23084,1.7224,159.8421,740.927856,Unknown,High,98.5633,-1.2181,-19.7027,7.4184,-529.5867,-18.7898,-12.4321,-30.2734
01-Nov-2017 17:29:16.104,-0.3648,0.9306,0.0334,0.0524,0.0181,-0.0143,-0.0652,0.129,2.9894,40.110166,-88.230837,1.7224,157.7679,746.903809,Unknown,High,98.563,-1.1891,-20.761,8.9038,-532.6376,-18.7898,-12.4321,-30.2734
